name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Future Group,4.2,(10.1k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
Wells Fargo Indi...,4.3,(3.1k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
Siemens,4.2,(3.2k Reviews),Public,"Munich,Bavaria + 103 more",30 years old,10k-50k Employees (India)
Nokia,4.4,(3.2k Reviews),Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
Bandhan Bank,3.9,(3.3k Reviews),Public,"Kolkata,West Bengal + 503 more",21 years old,10k-50k Employees (India)
eClerx,3.7,(3k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
Delhivery,4.2,(3k Reviews),Private,"Delhi,NCT + 432 more",11 years old,10k-50k Employees (India)
Max Life Insuran...,4.2,(3k Reviews),JV,"Gurgaon/Gurugram,Haryana + 272 more",22 years old,10k-50k Employees (India)
Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 38 more,22 years old,1 Lakh+ Employees (India),
TVS Motor,4.1,(3.1k Reviews),Public,"Chennai,Tamil Nadu + 231 more",43 years old,5k-10k Employees (India)
AU Small Finance...,4.1,(3.9k Reviews),Private,"Jaipur,Rajasthan + 280 more",26 years old,10k-50k Employees (India)
Cyient,3.7,(2.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
Oyo Rooms,3.6,(3.1k Reviews),Private,"Gurgaon,Haryana + 102 more",9 years old,1k-5k Employees (India)
Tata Projects,4.2,(2.9k Reviews),Public,"Mumbai,Maharashtra + 191 more",43 years old,5k-10k Employees (India)
First Source,4.0,(2.9k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,5k-10k Employees (India)
JLL,4.3,(2.9k Reviews),Private,"Mumbai,Maharashtra + 59 more",25 years old,10k-50k Employees (India)
Oracle,3.9,(3.6k Reviews),Public,"Austin,Texas + 31 more",45 years old,10k-50k Employees (India)
Hero MotoCorp,4.3,(2.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 259 more",38 years old,5k-10k Employees (India)
JSW Steel,3.9,(4.2k Reviews),Public,"Mumbai,Maharashtra + 88 more",40 years old,10k-50k Employees (India)
Hexaware Technol...,3.8,(2.8k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
TATA Steel,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 119 more",115 years old,10k-50k Employees (India)
Hyundai Motor,4.1,(3.7k Reviews),Private,Seoul + 218 more,55 years old,5k-10k Employees (India)
Bosch,4.3,(3.6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
JustDial,3.6,(2.7k Reviews),Public,"Mumbai,Maharashtra + 123 more",26 years old,10k-50k Employees (India)
Atos Syntel,3.8,(4.4k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
iEnergizer,3.5,(2.6k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
Quess,3.9,(7.7k Reviews),Public,Bangalore + 304 more,15 years old,10k-50k Employees (India)
Megha Engineerin...,4.2,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 189 more",33 years old,1k-5k Employees (India)
Viatris,4.3,(2.5k Reviews),"Canonsburg,Pennsylvania + 61 more",61 years old,1k-5k Employees (India),
Dell,4.3,(3.5k Reviews),Private,"Round Rock,Texas + 84 more",38 years old,50k-1 Lakh Employees (India)
